S. NO. ,Plants,Soil preperation,Germination ,Water req.,Compost Req.,Pot size,Uses,Timeline,Special Care Points
1,Garlic,Mix simple garden soil with organic compost.,Add some garlic cloves (larger bulbs) in the soil 4 inches apart and 2 inches deep. Avoid garlic which has gone soft.,"Once a day, but make sure to keep the soil moist in early days of germination.",2 times a month,large pot with proper drainage ,It has a direct usage in the food industry and helps in cold and flu,After 5 days germination takes place. After 12 days the leaves grow about 3 inches tall. After 20 days it is 6 inches tall and after 90 days they are ready to be harvested.,keep them in a place where full sun is available and after 90 to 100 days start harvesting by digging in the soil very carefully so as to not to destroy the crop.
2,Radish,Mixture of 30% coco-peat + 20% compost + 50% garden soil,Spread the seeds around the soil and bury them about 1 cm deep in the soil.,"Once a day, just keep the upper layer of soil moist and do not water too much.",Add the compost once a month to ensure proper nutients in the soil.,Any medium sized pot will work to grow radishes.,It is used in salads and making various vegetables. Extra seedlings removed can be used as leafy vegetables in the kitchen.,After 7 days leaves grow upto 1.5 inches tall and after 15 days they are 5 inches tall. After 15-25 days remove the extra seedling and only keep 4-6 seedling in a single pot. Now after removing the seedlings add some extra soil and make the roots of the seedlings steady in the soil. after 50 days the radish starts to be formed and the leaves become about 50-60 cm tall. after 60-65 days pull out the radish out of the soil and clean it.,Keep the plant in partial shade. Keep the soil soft and prevent it from hardening. More soft the soil is more thicker the radish will be.
3,Carrots ,A mixture of garden soil + compost + river sand. Avoid soil that is too rocky or clayley.,"Spread the seeds evenly on the surface, do not keep them very close to each other. Cover the seeds with a small thin layer of the soil and water them immediately.","Once a day, just keep the upper layer of soil moist and do not water too much.",Add the compost once in every 20-25 days along with soil to ensure proper nutients in the soil.,large pot with proper drainage ,It is used in salads and making various vegetables. Extra seedlings removed can be used as leafy vegetables in the kitchen.,"Carrots germinate after 6-8 days. After few days of germination, when the sprouts are about 2-3 inches tall, thin to two seedlings per 2 inch for smaller growing varieties and one seedling per 2 inch for large varieties (remove weaker ones). After 25-30 days pick out one carrot plant to check the proper growth. After 75-90 days or when they are half to one inch in diameter you can harvest the carrots by pulling them out of the soil very gently. ",Keep the plant in full sun. and keep the soil moist at all times. Do not disturb the carrot roots. Remove the weeds from time to time. Keep the carrot plants 1-2 inches apart for proper growth. After fertilizing always water well. Early you harvest the carrots the more sweet they will taste.
4,Lettuce,"Take any normal garden soil, put it in a pot and water it. ","After the soil settles down, sprinkle the seeds of lettuce on the surface and cover it with a thin layer of soil and compost. Or you can use coco peat to cover the seeds.",Water it properly and keep the soil moderately moist at all times.,Add the compost once a month to ensure proper nutients in the soil.,"A pot size little larger then the medium sized, rectangular, pot will work.",It is used in salads and making various vegetables. Extra seedlings removed can be used as leafy vegetables in the kitchen.,"Lettuce germinate in 5-7 days. When the seedlings are 2 weeks old, transplant them into bigger pots and keep them 4 inches apart. After few weeks the lettuce grows about 8-12 inch. After few more weeks when they are big enough, you can harvest the lettoce by pulling out of the soil or you can also cut some leaaves at a time.",Prefer using coco peat to cover the seeds for germination as it is light and promote more germination. While harvesting cutting only some leaves at a time will give you a harvest for longer period.
5,Peas,Take a mixture of 30% garden soil+30% cocopeat + 40% vermicompost,Keep the seeds soaked in water overnight to increase germination rate. Sow the seeds 1-1.5 cm deep and 4 inches apart from each other.,"Once a day, but make sure to keep the soil moist in early days of germination.",Add the compost once a month to ensure proper nutients in the soil.,Use a medium sized rectangular pot with proper drainage holes.,It is a very frequrntly used vegetable in the kitchen.,"After 16 days the saplings are ready. After 30 days they grow upto 4-6 inches. After 72 days they are big enough to bear buds. After 84 days the pea start to appear on the plants, but they are not fully developed. After 90 days the peas are ready to be harvested and can be taken up for use.",Transplantation is not preffered by pea plants thus sow them drectly into a big pot. Keep the pot in patial shade during germination 
6,Tomato ,Mixture of 60% garden soil + 40% organic compost ,Put the seeds on the soil surface and cover it with thin layer of soil. While germinating keep the pot in partial shade and after germination keep it in full sun.,Once or twice a dproper growth.ay. Keep the soil always moist for,Add compost on every 18- 20 days in order to produce an enriched soil.,Small pot with drainage holes for germination of seeds. Container atleast 18-20 inches in diameter to 15 inches deep with proper drainage holes.,It is a very frequently used fruit in the kitchen.,"After seven days the seeds germinate. Seedlings become 3-4 inches tall in 15 days. When the seedlings are 6-8 inches tall at that point in 25 -30 days, you can transplant them at their final location. While transplanting remove leaves from lower side of the seedling and bury it in a deep hole of 6-8 inches, only a few inches should be above the soil surface. After about 55 days flowers appear on the plant. You also need to provide support to the plants while they grow tall and start to fall. You can also promote pollination by shaking the flower gently. It produces fruit in about 35 to 60 days post transplanting. After 80- 85 days the tomato grow to be big and heavier, provide extra support to the plant. After 90-92 days the plant start to change its colour and become orange. Wait for the plant to completely turn into orange colour (in about 95-98 days) and then break them by the stalk from which it is attached to the stem. ",Keep under direct sunlight and avoid damaging roots during transplantation. Try to keep the roots intact with soil to avoid transplant shock. Keep 2 seedlings at about 4 inches of distance from each other during transplantation. After transplantation keep the plant under partial shade for 2-3 days and then gradually shift to full sun. While harvesting the tomatoes you can distinguish between fully riped tomatoes by their texture. More riped tomatoes will be soft.
7,Potato ,Mixture of 60% garden soil + 40% organic compost ,Take some organic potatoes and place them in a paper bag for a few days and the eyes will start to sprout. Place seed potatoes with eyes facing upward. Space them atleast 6-8 inches apart. Cover them with 3-4 inches of soil cover and water it.,Once a day. Try to keep soil moist and not wet.,"Once a month, along with soil to ensure the proper nutrients for the potatoes to grow.",A big container 20-25 inch in diameter and 18-20 inch in depth are good enough for planting potatoes. Proper drainage holes are a must in any pot used.,It is a very frequently used Vegetable in the kitchen.,"After 6 days the new sprouts start to appear. After 15 days the sprouts will be clearly visible and will be 1-2 inches tall. After 35 days the shoot will rise upto 6-8 inches, at this point add soil and compost tto the pot. After 60 days the plants grow upto 10-15 inches. After 90 days the shoot start to die and fall down. After 115 days the foliage turns yellow and this indicates that the potatoes are ready to be harvested. To harvest potatoes just turn over the pot and spread the soil, find different sized potatoes in the soil. Wash these potatoes and they are good to use.",Keep the plant in a place receiving direct sunlight of about 6-8 hours.
8,Lemon,Use 10% compost + 90% coco peat for germination. Mixture of 50% garden soil+20% organic compost+20% sand+ 10% cocopeat is used for the growth of plant after transplantation.,Keep the seeds soaked in water overnight to increase germination rate. Sow the seeds 1-2 cm deep and 3 inches apart from each other. Keep the germination pot away from direct sunlight.,Once a day. Try to keep soil moist and not soggy during germination. Add water whenever the soil starts to dry up.,Add compost once a month in adequate amounts.,Use small pots 3-4 inch indiameter and 5-6 inch in depth for germinating the seedlingsTake a large container with proper drainage hole.,It has its place in various dishes.,Day 16 will mark the appearance of first seedling and till day 16 it grows upto 4 inches. When this seedling has 3-4 leaves shift the seedling into the normal sunlight under the direct sunlight. After 6-7 months the plant grows upto a great length and you can shift them to a bigger pot. After about 3-3.5 years the plant will bear a fruit.,Require full sunlight to grow. Keep it in the south side of the house in order to prevent it from the frost.
9,Chilli,Mixture of 60% garden soil + 20% organic compost +20% river sand.,"Take chilli seeds and sprinkle them onto the soil surface, but avoid overlapping. Further cover the seeds with fine layer of soil and water it thoroughly.",Keep the soil moist in the germination period.,Add compost every 18-20 days to replenish the nutrients in the soil.,Take a large pot with proper drainage holes.,It has its place in various dishes.,"After about 8-12 days the seedlings start to appear. When the seedlings have 3-4 true leaves after 25 days transplant them into the individual pots. After transplanting keep the pot in indirect sunlight for 2-3 days and water only the top layer of soil. When seedlings are 6-7 inches long, pinch the top leaves in order to promote lateral growth. After 20 days the plants will be more fuller and bushier. After about 28 days the plant will bear flowers. After 42 days small chillies will appear. After 55 days you can see bunches of green chillies on the plant. You can harvest these green unripened chillies. Now after 72 days the chilli turn into red chillies and can be harvested at this stage as well.","Keep the germination pot in the partial shade. Use gloves while dealing with chillies. Transplant early in the morning to avoid the transplant shock. While transplanting if keeping more than 1 plant in a pot, then keep a distance of about 6-7 inches between them. Rule out weeds from time to time and keep the chilli plants together to ensure better pollination. Chilli plants are perennial plant and can survive for 2 years. In second year they have more productivity as compared to 1st year."
10,Brinjal,"Mixture of 50%garden soil+50% orgaic post for germination. Mixture of garden soil, compost and sand in equal proportion.",Sprinkle the seeds on the soil and avoid overlapping of seeds. Cover the seeds with the thin layer of soil and water it.,Once a day. Just water the plant to make sure the soil does not dry out and remain moist at all the times.,After every 12-15 days add arganic compost into the pot.,"Take a small pot for the germination. For transplantation use a big container of atleast 18-24 inches in diameter with 10-15 inches in depth, it can easily grow 3-4 plants.",It is a very frequently used vegetable in the kitchen.,After 10 days the seedlings start to appear. After 17 days they grow upto 3-4 inches in height. After 22 days the leaves and plant grow big enough to cover the small pots.  After about 27 days when the seedling reaches a height of 4-6 inches youu can transplant the seedling. After transplant keep the plant in shade for 2-3 days to absorb the transplant shock and then shift them in the full sun. After 50 days the plants start to bear buds and flowers. After about 57 days the fruits start to appear. After 65 days the fruits appear to be bigger and heavier. After 70 days if the plant starts to fall off due to its weight support it with a stick. After 84 days harvest brinjal when they are young and their skin is glossy.,Keep the germination pot in the full sun and keep the soil moist at all times. Make sure during transplantation that the roots remain intact and does not get disturbed. Space the plants 6-8 inches apart in the container. Cut the upper part of the plant so as to make it grow laterally and help plant to become more healthier. These plants produce harvest for 2-3 seasons and grow for 8-12 months.
